"bbid","naam","uri","straatnaam","straat_uri","breen","kleinnr","nr1876","tekst"
"BB374","Berkenboomengang",,"Oude Looiersstraat","https://adamlink.nl/geo/street/oude-looiersstraat/3387","ja","35","60-62","Berkenboomengang B: Oude Looiersstraat 35   60-62 Ook: Hondsbosschegang.; BWK; TA: 2 (1784, 1793) ; MNM: 1 (1793); K1805; BS: G 1, O 11, Ov 3 (1813-1861); RN53; BA53; RN75; L; H; Tram25; AS30; SvA35; AAA38/39"
"BB375","Berkengang",,"Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","nee",,,"Berkengang – Anjeliersstraat BS: O 1 (O12/7/209)"
"BB376","Berkengang",,"Oude Looiersstraat","https://adamlink.nl/geo/street/oude-looiersstraat/3387","nee",,,"Berkengang – Oude Looiersstraat BS zie: Berkenboomengang"
"BB377","Beschuitbakkersgang",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Beschuitbakkersgang – Anjeliersgracht TA 1748-10-23 zie: Betielbakkersgang"
"BB378","Beschuitbakkersgang",,"Lindengracht","https://adamlink.nl/geo/street/lindengracht/2707","ja","175","-","Beschuitbakkersgang B: Lindengracht 175   -   vervallen.; (BWK); K1805; BS: O 2/(3) (1823-1851); (L)"
"BB379","Beschuitbakkerssteeg(je)",,"Amstel","https://adamlink.nl/geo/street/amstel/135","nee",,,"Beschuitbakkerssteeg(je) – Amstel Kw.: 1 (1647-06-03); B H&L Kf: 8 (1653-10-22, 1657-10-15, 1657-12-31, 1658-09-17, 1659-12-16, 1662-06-16, 1664-08-19, 1664-09-30); B KL: 3 (1658-03-03, 1659-12-16, 1660-02-15); WV: 1 (1658-03-18); TA: 2 (1634-01-21, 1647-06-03)"
"BB380","Gang",,"Beschuitbakkerij Broek in Waterland",,"nee",,,"Beschuitbakkerij Broek in Waterland – Anjeliersgracht Zz – Gang WV: 1 (1685-01-29)"
"BB381","Beschuitmakersgang",,"Buiten Amstel","https://adamlink.nl/geo/street/buiten-amstel/5969","nee",,,"Beschuitmakersgang – Buiten Amstel B KL: 1 (1657-01-12)"
"BB382","Besnijdersgang","https://adamlink.nl/geo/street/benijdersgang/6797","Bloemstraat","https://adamlink.nl/geo/street/bloemstraat/504","ja","114","167","Besnijdersgang B: Bloemstraat 114   167 zie: Benijdersgang"
"BB383","Bessemakersgang",,,,"nee",,,"Bessemakersgang – Anjeliersstraat zie: Bezemmakersgang"
"BB384","Betalegang",,"Passeerdersstraat","https://adamlink.nl/geo/street/passeerdersstraat/3484","nee",,,"Betalegang – Passeerdersstraat BS: O 1 (O15/8/12v)"
"BB385",,,,,,,,"Betanjesteegje/Betanjestraat MNM zie: Hemelrijk, Klein"
"BB386","Gang",,"Bethaniëndwarsstraat","https://adamlink.nl/geo/street/bethaniendwarsstraat/425","nee",,,"Bethaniëndwarsstraat – Gang WV: 1 (1644-01-12)"
"BB387","Bethaniëndwarsstraat",,,,"nee",,,"Bethaniëndwarsstraat – Gang RN53; RN75"
"BB388","Gemeen Steegje",,"Bethaniëndwarsstraat","https://adamlink.nl/geo/street/bethaniendwarsstraat/425","nee",,,"Bethaniëndwarsstraat – Gemeen Steegje WV: 2 (1650-01-24, 1686-02-26)"
"BB389","Bethlehemsgang",,,,"ja",,,"Bethlehemsgang B: Krom Boomsloot b/d. Korte Keizersstraat -   -   vervallen. Volgens de wijkkaart van wijk 11 (ong. 1750). In het reg. van 1796 komt deze gang niet voor.; BWK; (krt1829); (tGA)"
"BB390","Bethlehemsgang",,"Oude Zijds Armsteeg","https://adamlink.nl/geo/street/oudezijds-armsteeg/3407","ja","3/4","15-27","Bethlehemsgang B: Oude Zijds Armsteeg 3/4   15-27; BWK; WV: 4 (1655-1683); Kw.: 8 (1685-1781); B KL: 3 (1664); B A Kf: 1 (1679); TA: 10 (1650-1809); MNM: 5 (1764-1798); K1805; BS: G 10, O 50, Ov 9 (1811-1851); RN53; BA53; BR; (tGA); RN75; L; Tram25; AS30; SvA"
"BB391","Gang",,"Bethlehemsgang","https://adamlink.nl/geo/street/betlehemsgang/5846","nee",,,"Bethlehemsgang – Oudezijds Armsteeg – Gang WV: 1 (1651-01-10"
"BB392","Bethlehemsgang",,"Passeerderdwarsstraat","https://adamlink.nl/geo/street/eerste-passeerdersdwarsstraat/1195","ja","30","-","Bethlehemsgang B: Passeerderdwarsstraat 30   -   vervallen."
"BB393","Bethlehemsgang",,"Sint Annendwarsstraat","https://adamlink.nl/geo/street/sint-annendwarsstraat/4094","nee",,,"Bethlehemsgang – Sint Annendwarsstraat BS zie: Bethlehemssteeg"
"BB394",,,,,,,,"Bethlehemssteeg(je) Kw.: 5 (1663-1803); MNM: 1 (1802); krt1842"
"BB395","Bethlehemssteeg",,"St. Annadwarsstraat","https://adamlink.nl/geo/street/sint-annendwarsstraat/4094","ja","3/4","8-22","Bethlehemssteeg B: St. Annadwarsstraat 3/4   8-22; W; BWK; WV: 2 (1641-1652); Kw.: 12 (1584-1803); TA: 4 (1652-1809); MNM: 4 (1784-1803); K1805;  BS: G 16 O 35, Ov 19 (1811-1853); krt1829; RN53; BA53; RN75; tG; L; Tram25; AS30; SvA35; AAA38/39"
"BB396",,,,,,,,"Bethlehemssteeg(je) BWK;WV; Kw.; TA zie: Bethlehemsgang – Oudezijds Armsteeg"
"BB397","Betielbakkersgang",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Betielbakkersgang – Anjeliersgracht Kw. (zie ook: P(l)atielbakkersgang?): 1 (1679-11-02); WV: 3 (1680-01-15, 1681-02-10, 1693-02-04); TA: 3 (1679-10-25, 1748-10-23, 1796-05-09)"
"BB398",,,,,,,,"Betjansdwarssteeg/Betjansdwarsstraat/Bet(h)janssteeg(je) Kw.; WV; TA; MNM; K1805 zie: Hemelrijk, Klein"
"BB399",,,,,,,,"Betjans- of Bethlehemssteeg(je) Kw.; MNM zie: Hemelrijk, Klein"
"BB400","Beugeltasgang",,"Egelantiersstraat","https://adamlink.nl/geo/street/egelantiersstraat/1210","ja","16","30-32","Beugeltasgang B: Egelantiersstraat 16   30-32 Op de kaart van wijk 46 (1783): Sachlsgang.; BWK; K1805; RN53; BA53; L"
"BB401","Gang",,"Beulingstraat","https://adamlink.nl/geo/street/beulingstraat/431","nee",,,"Beulingstraat – Gang WV: 1 (1631-01-20)"
"BB402","Slopsteegje",,"Beulingstraat","https://adamlink.nl/geo/street/beulingstraat/431","nee",,,"Beulingstraat – Slopsteegje WV: 1 (1639-01-08)"
"BB403","Beursgang",,"Goudsbloemstraat","https://adamlink.nl/geo/street/goudsbloemstraat/1537","nee",,,"Beursgang – Goudsbloemstraat BS: O 1 (O41/3/71v)"
"BB404","Beurzengang",,"Marken","https://adamlink.nl/geo/street/valkenburgerstraat/4618","nee",,,"Beurzengang – Marken MNM: 1 (1800-04-28)"
"BB405",,,,,,,,"Beusembroeken-/Beusembrugsgang – Korte Houtstraat BS zie: Bezembindersgang"
"BB406","Beversgang","https://adamlink.nl/geo/street/webersgang/6324","Rozenstraat","https://adamlink.nl/geo/street/rozenstraat/3901","ja","146","101-109","Beversgang B: Rozenstraat 146   101-109 In de register der nummering van 1853 en verv.: Webersgang.; TA: 1 (1780); MNM: 1 (1780); (K1805); BS: G 2, O 3/(4), Ov 2 (1812-1852); RN53; BA53; BR; RN75; L; H; Tram25; AS30; SvA35"
"BB407",,,,,,,,"Bezembinders-/Bezembroekenbinders-/Bezembroekergang – Korte Houtstraat Kw. Zie: Bezembroekergang; BS: G 4, O 28/(29), Ov 3 (O12/10/20v - O52/4/160); Tram25 zie: Bezemsgang"
"BB408","Bezembroeker(s)gang",,"Korte Houtstraat","https://adamlink.nl/geo/street/korte-houtstraat/5643","nee",,,"Bezembroeker(s)gang – Korte Houtstraat Kw. (zie ook: Biezenbroekergang): 1 (1793-01-23); MNM: 2 (1792-12-18, 1804-03-05)"
"BB409","Bezemgang",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Bezemgang – Anjeliersgracht BS: O 1 (O52/5/142)"
"BB410",,,,,,,,"Bezemgang (zie ook: Bezemsgang) BS; BR P zie: Bezembindersgang – Korte Houtstraat"
"BB411","Bezemgang",,"Eerste Looiersdwarsstraat","https://adamlink.nl/geo/street/eerste-looiersdwarsstraat/1190","nee",,,"Bezemgang – Eerste Looiersdwarsstraat K1805; BS zie: Bezemmakersgang"
"BB412","Bezemgang",,"Marken","https://adamlink.nl/geo/street/valkenburgerstraat/4618","ja","45/46","-","Bezemgang B: Marken 45/46   -   vervallen.; BWK; Kw.: 1 (1786); K1805; BS: G 4/(5), O 3, Ov 2 (1812-1831); (tGA); (L)"
"BB413","Bezemgang",,"Oudezijds Armsteeg","https://adamlink.nl/geo/street/oudezijds-armsteeg/3407","nee",,,"Bezemgang – Oudezijds Armsteeg BS zie: Boerengang"
"BB414","Bezemmakersgang","https://adamlink.nl/geo/street/nieuwehuizengang/6220","Anjeliersstraat","https://adamlink.nl/geo/street/anjeliersstraat/168","ja","162/163","123-125","Bezemmakersgang B: Anjeliersstraat 162/163   123-125   vervallen.Ook: Nieuwehuizengang. Later: Nieuwenhuizenhofje.; BWK; Kw.: 6 (1693-1765); TA: 20 (\"een huijs met Vier achterhuysen daer aen, ende haere erven, Staende en(de) leggende inde Angeliersstraet, tusschen de eerste en tweede dwarsstraet aende ZuijdZyde opde hoek vande besemmakers gangh, daer de Jtaliaensche Schoorsteenveger uijthangt ... 1688-11-04\", Anjeliersstraat [Id.] De Italiaanse Schoorsteenveger uithangend, huis, 4 achterhuizen en erven, hoek Bezemmakersgang tussen eerste en tweede dwarsstraat 1693-04-23, \"Een huys en erve, in de Angeliers straet, aen de Zuyd WestZyde; op de hoek vande bezemmakers gang ... 1713-05-17\", 1713-1809); MNM: 12 (1756-1803); K1805; BS: O 5, Ov 2 (1821-1841); RN53; BA53;L; (H)"
"BB415","Bezemmakersgang",,"Korte Houtstraat","https://adamlink.nl/geo/street/korte-houtstraat/5643","nee",,,"Bezemmakersgang – Korte Houtstraat BS zie: Bezembindersgang"
"BB416","Bezemmakersgang",,"1e Looiersdwarsstraat","https://adamlink.nl/geo/street/eerste-looiersdwarsstraat/1190","ja","25","16-18","Bezemmakersgang B: 1e Looiersdwarsstraat 25   16-18 Aldus in het register der nummering van 1853 en in den Atlas van Amsterdam. 1876 (Buurt GG). In 1796 heet deze gang Buizengang, en in de registers van 1876 en 1887 Gapersgang; BWK; K1805; BS: O 2/(3) (1834-1852); RN53; BA53; RN75; L; Tram25; AS30; SvA35"
"BB417","Bezemmakersgang",,"Looiersgracht","https://adamlink.nl/geo/street/looiersgracht/2747","ja","16","46-48","Bezemmakersgang B: Looiersgracht 16   46-48 In 1796: Gapersgang. Ook nog in 1853 en in den Atlas van Amsterdam (1876), Buurt GG.; BWK; B W Kf: 4 (1691-1762); K1805; BS: G 3, O 9/(10), Ov 3 (1812-1846); RN53; BA53; BR; RN75; L; H; Tram25; AS30; SvA35"
"BB418","Bezemschuthofje",,"Rapenburgerstraat","https://adamlink.nl/geo/street/rapenburgerstraat/3744","nee",,,"Bezemschuthofje – Rapenburgerstraat BS zie: Bussenschutshofje"
"BB419","Bezemsgang",,,,"nee",,,"Bezemsgang - Korte Houtstraat (zie ook: Bezemgang) Tram 25; AS30; SvA35; zie ook: Bezembindersgang"
"BB420","Bezetsteegje",,"Niezel","https://adamlink.nl/geo/street/lange-niezel/2610","nee",,,"Bezetsteegje – Niezel B KL: 1 (1673-01-04)"
"BB421","Bickersgang",,"Brouwersgracht","https://adamlink.nl/geo/street/brouwersgracht/623","nee",,,"Bickersgang – Brouwersgracht TA: 1 (1768-06-29)"
"BB422","Naamlooze Gang.",,"Bickersgracht","https://adamlink.nl/geo/street/bickersgracht/442","ja","17","-","Bickersgracht B: Naamlooze Gang. 17   -   vervallen."
"BB423",,,,,,,,"Bierbeschooierssteegje B KL: 1 (1664-05-26)"
"BB424","Bierdragersdwarsgang – Rozenstraat TA: 5 (1675-06-27",,,,"nee",,,"Bierdragersdwarsgang – Rozenstraat TA: 5 (1675-06-27 - 1756-03-04); MNM: 1 (1758-10-21)"
"BB425",,,,,,,,"Bierdragersgang Kw.: 1 (1719-09-02); TA: 1 (1719-09-02)"
"BB426","Bierdragersgang",,"Bloemstraat","https://adamlink.nl/geo/street/bloemstraat/504","nee",,,"Bierdragersgang – Bloemstraat K1805"
"BB427","Bierdragersgang",,"Egelantiersstraat","https://adamlink.nl/geo/street/egelantiersstraat/1210","nee",,,"Bierdragersgang – Egelantiersstraat BS: O 1 (O12/6/145v)"
"BB428","Bierdragersgang",,"Rozengracht","https://adamlink.nl/geo/street/rozengracht/3899","nee",,,"Bierdragersgang – Rozengracht TA 1739-06-11 zie: Rozenstraat"
"BB429","Bierdragersgang","https://adamlink.nl/geo/street/bierdragersgang/6809","Rozenstraat","https://adamlink.nl/geo/street/rozenstraat/3901","ja","60/61","160-168","Bierdragersgang B: Rozenstraat 60/61   160-168; W; Kw.: 11/(12) (1661-1801); TA: 18 (1675-1807); B Wk: 2 (1700-1750); B W Kf (o.a.): 10 (1690-1768); ONA: 1 (1779); MNM: 7 (1759-1805); K1805; BS: G 8, O 29/(32), Ov 11 (1811-1852); RN53; BR; RN75; L; Tram25; AS30; SvA35"
"BB430","Bierdragersgang","https://adamlink.nl/geo/street/bierdragersgang/445","Tuinstraat","https://adamlink.nl/geo/street/tuinstraat/4527","ja","41/42","92-98","Bierdragersgang B: Tuinstraat 41/42   92-98; W; BWK; B K Kf: 4 (1655); Kw.: 3 (1721-1798); TA: 10 (1669-1795); MNM: 2 (1759, 1793); BS: G 1, O 28, Ov 2 (1812-1849); RN53; BA53; BR; RN75; L; H; Tram25; AS30; SvA35"
"BB431","Bierdragersgang",,"Tuinstraat Zz","https://adamlink.nl/geo/street/tuinstraat/4527","nee",,,"Bierdragersgang – Tuinstraat Zz MNM zie: 41/42"
"BB432","Bierdragersgang",,"Vinkenstraat","https://adamlink.nl/geo/street/vinkenstraat/4767","ja","181","-","Bierdragersgang B: Vinkenstraat 181   -   vervallen.Op de kaart van wijk 52 (ongeveer 1770): Pelikanengang; BWK; TA: 4 (1724-1809); BS: O 3, Ov 1 (1811-1832)"
"BB433",,,,,,,,"Bierdragers- of Wijdegang – Tuinstraat TA: 1 (1737-05-16)"
"BB434","Bierdragersstraatje/Bierdragerstuintje",,"Leidekkerssteeg","https://adamlink.nl/geo/street/leidekkerssteeg/2655","nee",,,"Bierdragersstraatje/Bierdragerstuintje – Leidekkerssteeg BS: G 5 (G15/8/64v, G16/6/123, G17/1/23, G17/1/102, G22/8/200) , O 2 (O14/8/196v, O16/2/73)"
"BB435","Bierdragerstuintje",,"Gooierssteeg","https://adamlink.nl/geo/street/gooijerssteeg/5840","nee",,,"Bierdragerstuintje – Gooierssteeg MNM: 1 (1783-12-08)"
"BB436",,,,,,,,"Bierdragerstuintje MNM zie: Leidekkerssteeg"
"BB437","Biergang",,"Rozenstraat","https://adamlink.nl/geo/street/rozenstraat/3901","nee",,,"Biergang – Rozenstraat BS zie: Bierdragergang"
"BB438","Biergang",,"Tuinstraat","https://adamlink.nl/geo/street/tuinstraat/4527","nee",,,"Biergang – Tuinstraat BS zie: Bierdragersgang"
"BB439","Biersleepersgang",,"Laurierstraat","https://adamlink.nl/geo/street/laurierstraat/2632","ja","85/86","-","Biersleepersgang B: Laurierstraat 85/86   -   vervallen.; TA: 1 (1782); MNM: 1 (1783); K1805; (BS)"
"BB440","Gang van Hendrik Biervelt",,"Anjeliersgracht","https://adamlink.nl/geo/street/westerstraat/4964","nee",,,"Gang van Hendrik Biervelt – Anjeliersgracht TA zie: Sponzenmakersgang"
"BB441","Biezenbroeker(s)gang",,"Korte Houtstraat","https://adamlink.nl/geo/street/korte-houtstraat/5643","nee",,,"Biezenbroeker(s)gang – Korte Houtstraat TA: 4 (1740-04-06, 1765-01-22, 1782-05-16, 1793-01-23); Kw. (zie ook: Bezembroekergang): 1 (1783-12-16); MNM: 2 (1783-08-04, 1787-05-21)"
"BB442","Biesenbroekergang",,"en Foeliestraten",,"nee",,,"Biesenbroekergang – Rapenburgergracht (Binnenkant) tussen Peper- en Foeliestraten WV: 1"
"BB443","Biezengang","https://adamlink.nl/geo/street/berengang/5697","Raamgracht ","https://adamlink.nl/geo/street/raamgracht/3724","ja","21/22","41-49","Biezengang B: Raamgracht  21/22   41-49 zie: Berengang"
"BB444","Bikkersgang",,"Brouwersgracht","https://adamlink.nl/geo/street/brouwersgracht/623","nee",,,"Bikkersgang – Brouwersgracht TA zie: Bickersgang"
"BB445","Bikkersgang",,"Goudsbloemgracht","https://adamlink.nl/geo/street/willemsstraat/5074","nee",,,"Bikkersgang – Goudsbloemgracht MNM: 1 (1778-12-07)"
"BB446","Biksteengang",,"Binnen Dommerstraat","https://adamlink.nl/geo/street/binnen-dommersstraat/466","ja","3/4","23","Biksteengang B: Binnen Dommerstraat 3/4    23 Volgens de kaart van wijk 53. In het register van 1796 naamloos.; BWK; K1805; RN53"
"BB447","Biksteengang",,"Marken","https://adamlink.nl/geo/street/valkenburgerstraat/4618","nee",,,"Biksteengang – Marken Kw.: 9 (1727-1785); TA: 7 (1732-1804); MNM: 2 (1791, 1795)"
"BB448","Biksteengang",,"Marken","https://adamlink.nl/geo/street/valkenburgerstraat/4618","nee",,,"Biksteengang – Marken BS zie: Nieuwe Biksteengang"
"BB449",,,,,,,,"Nieuwe Biksteen- of Mosterdmolengang – Marken Kw.: 1 (1782-12-13)"
"BB450","Biksteengang",,"Palmstraat","https://adamlink.nl/geo/street/palmstraat/3453","nee",,,"Biksteengang – Palmstraat BS: Ov 2 (G17/4/88, O18/6/31v)"
"BB451","Binnenste Hofje",,"Laurierstraat","https://adamlink.nl/geo/street/laurierstraat/2632","nee",,,"Binnenste Hofje – Laurierstraat TA 1805-02-19 zie: Kramersgang"
"BB452","Bisschopsgang",,"Elandsgracht","https://adamlink.nl/geo/street/elandsgracht/1231","nee",,,"Bisschopsgang – Elandsgracht B W Kf: 1 (1695-02-02)"
"BB453","Uitgang",,"Bisschopsstraat","https://adamlink.nl/geo/street/zandstraat/5145","nee",,,"Bisschopsstraat – Uitgang TA: 1 (1646-05-16)"
"BB454","Bitterhofsgang",,"Goudsbloemgracht","https://adamlink.nl/geo/street/willemsstraat/5074","nee",,,"Bitterhofsgang – Goudsbloemgracht MNM: 1 (1800-01-20)"
"BB455","Bittersgang",,"Uilenburgerstraat","https://adamlink.nl/geo/street/uilenburgerstraat/5667","ja","3","165-169","Bittersgang B: Uilenburgerstraat 3   165-169 Aldus op de wijkkaarten tusschen 1773 en 1782. Op de kaart van na 1787 en in het register van 1796: Parsersgang, wat blijkens de registers van 1853 en verv. thans is verbasterd tot Parsengang!; BWK"
"BB456","Blaas met Kotensteegje",,"Dirk van Hasseltssteeg","https://adamlink.nl/geo/street/dirk-van-hasseltssteeg/1026","nee",,,"Blaas met Kotensteegje – Dirk van Hasseltssteeg Kw.: 3 (1624-03-27, 1641-08-19, 1641-11-20); WV: 2 (1644-01-27) ; TA: 4 (1630-05-08, 1641-11-06, 1648-08-17, 1662-08-30); K1805: Blaas met Kotengang"
"BB457","Blaeu Erf",,"Dwarsstraatje",,"nee",,,"Blaeu Erf – Dwarsstraatje K1805"
"BB458","Uitgang",,"Blaeu Erf","https://adamlink.nl/geo/street/blaeu-erf/483","nee",,,"Blaeu Erf – Uitgang TA: 1 (1739-01-29)"
"BB459",,,,,,,,"Blauwboersteegje B H&L Kf: 1 (1655-09-26)"
"BB460","Naamlooze Gang",,"Blauwburgwal","https://adamlink.nl/geo/street/blauwburgwal/489","ja","10","-","Blauwburgwal B: Naamlooze Gang 10   -   vervallen."
"BB461","Blauwburgwal",,,,"nee",,,"Blauwburgwal – Gang BA53"
"BB462","Uitgang",,"Blauwburgwal","https://adamlink.nl/geo/street/blauwburgwal/489","nee",,,"Blauwburgwal – Uitgang TA: 1 (1622-04-13)"
"BB463","Blauwbijltjesgang",,,,"nee",,,"Blauwbijltjesgang – Oude Looiersstraat B: zie: Blauwe-Bijlsgang"
"BB464","Blauwe-Armsgang","https://adamlink.nl/geo/street/blaauwe-armgang/6756","Tuinstraat","https://adamlink.nl/geo/street/tuinstraat/4527","ja","162","117-119","Blauwe-Armsgang B: Tuinstraat 162   117-119; BWK; Kw.: 6 (1686-1796); TA: 7 (1681-1777); MNM: 1 (1796); K1805; BS: O 1 (1814); RN53; BA53; RN75; H"
"BB465","Gang",,"Blauwe Brug",,"nee",,,"Blauwe Brug – Gang B H&L Kf: 1 (1663-02-27)"
"BB466",,,,,,,,"Blauwe Bijlsgang Kw.: 1 (1644-07-06); TA: 3 (1722-1726)"
"BB467","Blauwe-Bijlsgang",,"Batavierstraat bij de Peperbrug",,"ja","-","-","Blauwe-Bijlsgang B: Batavierstraat bij de Peperbrug -   -   ? Inneemboek van het Aalmoezeniersweeshuis, Ao. 1725, No. 46; in het register van 1796 komt deze gang niet meer voor.; (TA); (MNM); (K1805); (L)"
"BB468","Blauwe-Bijlsgang",,,,"ja",,,"Blauwe-Bijlsgang B: Goudsbloemstraat (Noordz.) b/d. Brouwersgracht -   -   ? Wijkkaart van wijk 51 (1775). In het register van 1796 komt deze gang niet meer voor.; BWK"
"BB469","Blauwe-Bijlsgang",,"Haarlemmer Houttuinen","https://adamlink.nl/geo/street/haarlemmer-houttuinen/1625","ja","123","-","Blauwe-Bijlsgang B: Haarlemmer Houttuinen 123   -   vervallen.; BWK; (B NoK); BS: G 1, O 1, Ov 2 (1811-1818)"
"BB470","Blauwe Bijlsgang",,"Hekelveld","https://adamlink.nl/geo/street/hekelveld/1711","nee",,,"Blauwe Bijlsgang – Hekelveld TA zie: Blauwe Bijlsteeg"
"BB471","Blauwe Bijlsgang – Jodenbreestraat/Joden Houttuinen Kw.: 4 (1680-07-26",,,,"nee",,,"Blauwe Bijlsgang – Jodenbreestraat/Joden Houttuinen Kw.: 4 (1680-07-26 - 1726-02-20); TA: 10 (1686-03-07, \"een Huis en Erve, staande en leggende in de blauwe bijls gang achter de Joode breestraat, het laatste huis in de gang die zijn uitkomen heeft in de houttuinen achter de Joode breestraat ... 1717-05-13\", \"een huis en achterhuis en hunne erven staande en gelegen in de Joode houttuinen achter de Antonis breestraat tussen de Marken Steeg en het raapenburgs plein op de noorderhoek van de blaauwe bijlsgang ... welverstaande dat de gang by desen huise over timmerd zijnde ... 1717-07-08\", \"Een Huis en Erve, staande en leggen(de) in de blaauwe bylsgang achter de Joode breestraat zynde het eerste huis in de gang, welke Zyn uitkomst heeft in de houttui=nen achter de Jode breestraat voorn mitsgaders nog een huis en erve zijnde het Laatste in de voors gang ... 1719-06-22\"[doorgehaald: zie hier tegen over]  -  \"Twee Huizen en Erven, met drie Achterhuizen en Erven daar Achter, en twee wallen daar voor, Staande en gelegen in de Jooden Houttuinen, bij het Rapenburger plein, ter wederzyden van den Blaauwen Bylsgang, en in den Zelfden gang ... 1753-06-05\", \"Een Achterhuis en Erve Staande en gelegen in den Jooden Houtuijnen, tusschen de marken-brug en Rapenburgstraat, in den Blaauwe Byls gang, het Laatste huis in den zelven gang, genaamd het Bastiaans Huisje, aan de Zuid zyde ... 1753-06-05\")"
"BB472","Blauwe-Bijlsgang","https://adamlink.nl/geo/street/stoovegang/7043","Joden Houttuinen","https://adamlink.nl/geo/street/joden-houttuinen/2157","ja","-","-","Blauwe-Bijlsgang B: Joden Houttuinen -   -   vervallen. Inneemboek van het Aalmoezeniersweeshuis, Ao. 1718, No. 44. Op de kaart van wijk 15 (ongeveer 1775) heet de eerste gang van de Rapenburgerstraat af: Blauwe-Pijlsgang; ongetwijfeld is deze hier bedoeld. Op eene latere kaart (ongeveer 1788) heet zij Stovengang. In het register van 1796 komt zij niet meer voor.; BWK; (Kw.); (TA); BS: O 3, Ov 3 (1813-1831)"
"BB473","Blauwe Bijlsgang",,"bij Markensbrug",,"nee",,,"Blauwe Bijlsgang – bij Markensbrug Kw.: 2 (1617-06-28, 1644-07-06); TA: 1 (1617-06-28)"
"BB474","Blauwe-Bijlsgang",,"Oude Looiersstraat","https://adamlink.nl/geo/street/oude-looiersstraat/3387","ja","45","94-96","Blauwe-Bijlsgang B: Oude Looiersstraat 45   94-96 In de registers van 1853 en verv.: Blauwbijltjes of Blauwebijltjesgang.; BWK; (B W Kf: 1); B Wk: 1 (1750); TA: 3 (1767-1804); MNM: 1 (1804); K1805; BS: G 4, O 14, Ov 6 (1814-1852); RN53; BA53; RN75; L; Tram25; AS30; SvA35"
"BB475","Blauwe-Bijlsgang",,"Palmstraat","https://adamlink.nl/geo/street/palmstraat/3453","ja","47","-","Blauwe-Bijlsgang B: Palmstraat 47   -   vervallen.; BWK; MNM: 1 (1800)"
"BB476",,,,,,,,"Blauwe Bijlsteeg(je) (zie ook: Blauwe Bijlsgang) TA: 1 (1644-07-06)"
"BB477","Blauwe Bijlssteeg(je)",,"Hekelveld","https://adamlink.nl/geo/street/hekelveld/1711","nee",,,"Blauwe Bijlssteeg(je) – Hekelveld WV: 1 (1644-01-05); Kw.: 1/(2) (1657-12-14); TA: 5 (1644-10-17, 1698-06-20, 1705-05-29, 1729-11-02, 1772-03-11); MNM: 1 (1772-01-27)"
"BB478","Blauwebijltjesgang",,"Oude Looiersstraat","https://adamlink.nl/geo/street/oude-looiersstraat/3387","ja","45","94-96","Blauwebijltjesgang B: Oude Looiersstraat 45   94-96  zie: Blauwe-Bijlsgang"
"BB479","Blauwe Engel(en)gang",,"Rozenstraat","https://adamlink.nl/geo/street/rozenstraat/3901","nee",,,"Blauwe Engel(en)gang – Rozenstraat BS: O 2 (O12/10/88v, O18/8/101v)"
"BB480","Blauwegang",,"Bloemstraat","https://adamlink.nl/geo/street/bloemstraat/504","nee",,,"Blauwegang – Bloemstraat MNM: 1 (1763-02-21)"
"BB481","Blauwegang",,"Boomstraat","https://adamlink.nl/geo/street/boomstraat/543","ja","85","25","Blauwegang B: Boomstraat 85   25 Aldus in de registers van 1853 en verv. In 1796: Apothekersgang"
"BB482","Blauwegang",,"Egelantiersgracht","https://adamlink.nl/geo/street/egelantiersgracht/1209","nee",,,"Blauwegang – Egelantiersgracht TA: 2 (1805-04-02, 1805-04-30 \"Een Achterhuijs, zijnde twee woningen, en erven, staande en geleegen op de Egelantiersgragt ZZ in de Blauwe- gang D. 10 gr. 21. No= 1. & 2. ... 1805-04-30\")"
"BB483","Blauwegang",,"Egelantiersstraat","https://adamlink.nl/geo/street/egelantiersstraat/1210","nee",,,"Blauwegang – Egelantiersstraat K1805"
"BB484","Blauwegang",,"Goudsbloemgracht","https://adamlink.nl/geo/street/willemsstraat/5074","nee",,,"Blauwegang – Goudsbloemgracht K1805"
"BB485",,,,,,,,"Blauwegang BR PPsu2"
"BB486","Blauwegang",,"Noordermarkt","https://adamlink.nl/geo/street/noordermarkt/3238","nee",,,"Blauwegang – Noordermarkt BS: 1 (O30/6/190)"
"BB487","Blauwegang",,"Oude Looiersstraat","https://adamlink.nl/geo/street/oude-looiersstraat/3387","ja","55","97","Blauwegang B: Oude Looiersstraat 55   97   vervallen.; BWK; B Wk: 1 (1750); B W Kf: 4 (1691-1768); TA: 12 (1752-1803); MNM (zie ook: Blauwe Weversgang): 6 (1757-1803); K1805; BS: G 7, O 7, Ov 3 (1812-1834); RN53; BA53; RN75; L; Tram25; AS30; SvA38/39"
